LONG_X,LAT_Y,tipo,Mg SinAtipicos,Ca SinAtipicos,Na SinAtipicos,K SinAtipicos,na_ka,HCO3 SinAtipicos,Cl SinAtipicos,SO4 SinAtipicos,NO3 SinAtipicos,NO2 SinAtipicos,Fe SinAtipicos,pH SinAtipicos,TEMP SinAtipicos,COND_ELE SinAtipicos,SDT SinAtipicos,UG_Superficial,Edad_Superficial,Norte_Sur_Cimitarra,Geomorfologia,ID_RANURADO,DEM_12,CAR,DEP,MUN,CATION,ANION,BE,BE_ABS,Ref_mascara,Profundidad_(m),Prof_asociada,FECHA,Registro_Fecha,DIA,MES,A�O,Localización,ArchivoFuente,Selected,ID,Nombre_del_punto,ID_PUNTO,Cluster,Silhouette,Selected (1)
-73.597551,8.301653,Pozo,0.427983539,1.04,0.004347826,0.002564103,0.006911929,0.016393443,0.230985915,0.170833333,,0.000967742,0.000716243,7,26.3,335,,Cuaternario Aluvial (Qca),Cuaternario,NORTE,Faa,RA-0004,169,CORPOCESAR,CESAR,AGUACHICA,1.467983539,0.403503233,56.8788581,56.8788581,CAR,45,45,?,Exacta,16,2,2014,https://drive.google.com/open?id=15Ki1dPW-_AVxCOHWcRPLZb8Lu9BsZmkx,VolcadoMasivo_TODO_8.4_MCDA.xlsx,No,M-0005,,PO-11-0015,C2,0.615062264,No
-73.411616,7.806084,Pozo,0.197530864,0.48,0.004347826,0.002564103,0.006911929,0.016393443,0.112676056,0.1625,0.007419355,0.000370968,0.034379644,8.44,19.2,265,,Cuaternario Aluvial (Qca),Cuaternario,NORTE,Faa,RA-0007,99,CORPOCESAR,CESAR,SAN ALBERTO,0.677530864,0.317346023,36.20396105,36.20396105,CAR,,,?,Exacta,18,11,2015,https://drive.google.com/open?id=15-0WW76cVV3tKzNPA0PR3-i9-wrzD19C,VolcadoMasivo_TODO_8.4_MCDA.xlsx,No,M-0008,EDS Amarillo,PO-18-0026,C2,0.680991068,No
-73.516749,8.18306,Aljibe,0.615407407,0.852245,0.6181,0.064528205,0.682628205,1.68852459,0.664788732,0.258333333,,,,7.05,24.8,,,Cuaternario Aluvial (Qca),Cuaternario,NORTE,Faas,RA-0008,177,CORPOCESAR,CESAR,R+ìO DE ORO,2.150280613,2.611646656,-9.688641118,9.688641118,CAR,4.5,4.5,5/2/2018 0:00,Exacta,2,5,2018,https://drive.google.com/open?id=158bBNvkHXknDxlVzwBGbGQRm3-PkrXnV,VolcadoMasivo_TODO_8.4_MCDA.xlsx,No,M-0009,Pozo No. 1,PO-14-0027,C1,0.570213323,No
-73.516831,8.182743,Pozo,0.792880658,0.86492,0.613017391,0.065482051,0.678499442,1.672131148,0.65915493,0.277083333,,,0.003581213,7.09,23.7,261,,Cuaternario Aluvial (Qca),Cuaternario,NORTE,Faas,RA-0009,178,CORPOCESAR,CESAR,R+ìO DE ORO,2.336300101,2.611950623,-5.570666034,5.570666034,CAR,28,28,5/2/2018 0:00,Exacta,2,5,2018,https://drive.google.com/open?id=158bBNvkHXknDxlVzwBGbGQRm3-PkrXnV,VolcadoMasivo_TODO_8.4_MCDA.xlsx,No,M-0010,Pozo No. 2,PO-14-0028,C1,0.577522467,No
-73.916916,7.276937,Aljibe,0.679012346,1.275,3.286956522,0.58974359,3.876700112,5.983606557,1.38028169,0.910416667,0.004596774,,0.123193726,6.55,27.6,889,413,Cauce Aluvial (Fca),Cuaternario,SUR,Fca,,68,CAS,SANTANDER,PUERTO WILCHES,5.830712457,8.402095414,-18.06658939,18.06658939,EIA,5.77,5.77,6/8/2014 0:00,Exacta,8,6,2014,https://drive.google.com/open?id=1aBbT4ZQDfCrVypES03QVKWqUgjcXSOUI,VolcadoMasivo_TODO_8.4_MCDA.xlsx,No,M-0015,A-002,PO-16-0046,C3,0.517793018,No
-73.88466,7.318527,Aljibe,0.064032922,0.121,0.25,0.013871795,0.263871795,0.413114754,0.185915493,0.104166667,0.001612903,,0.005801565,6.8,30.4,72.1,30.5,Cauce Aluvial (Fca),Cuaternario,SUR,Fpl,,78,CAS,SANTANDER,PUERTO WILCHES,0.448904717,0.710611382,-22.57033478,22.57033478,EIA,5,5,6/8/2014 0:00,Exacta,8,6,2014,https://drive.google.com/open?id=1aBbT4ZQDfCrVypES03QVKWqUgjcXSOUI,VolcadoMasivo_TODO_8.4_MCDA.xlsx,No,M-0016,A-010,PO-16-0051,C2,0.69776064,No
-73.809558,7.239036,Aljibe,0.018683128,0.0352,0.115217391,0.011358974,0.126576365,0.072131148,0.185915493,0.104166667,0.001612903,,0.004118395,5.55,32.9,24.2,12,Cauce Aluvial (Fca),Cuaternario,SUR,Fpl,,92,CAS,SANTANDER,PUERTO WILCHES,0.180459493,0.367944605,-34.18740169,34.18740169,EIA,6,6,6/8/2014 0:00,Exacta,8,6,2014,https://drive.google.com/open?id=1aBbT4ZQDfCrVypES03QVKWqUgjcXSOUI,VolcadoMasivo_TODO_8.4_MCDA.xlsx,No,M-0017,A-037,PO-16-0061,C2,0.700614908,No
-73.785279,7.258109,Aljibe,0.029794239,0.0405,0.343043478,0.052820513,0.395863991,0.124590164,0.642253521,0.104166667,0.00416129,,0.013071427,6.09,29.5,858,39.1,Cauce Aluvial (Fca),Cuaternario,SUR,Fpl,,100,CAS,SANTANDER,PUERTO WILCHES,0.46615823,0.888243069,-31.16394232,31.16394232,EIA,5.69,5.69,6/8/2014 0:00,Exacta,8,6,2014,https://drive.google.com/open?id=1aBbT4ZQDfCrVypES03QVKWqUgjcXSOUI,VolcadoMasivo_TODO_8.4_MCDA.xlsx,No,M-0018,A-041,PO-16-0065,C2,0.690225461,No
-73.900609,7.272645,Aljibe,0.034567901,0.067,0.135652174,0.022153846,0.15780602,0.231147541,0.185915493,0.104166667,0.001612903,,0.003760274,6.35,29.6,63.4,16.11,Cauce Aluvial (Fca),Cuaternario,SUR,Fpl,,77,CAS,SANTANDER,PUERTO WILCHES,0.259373921,0.526602877,-33.99959853,33.99959853,EIA,5.5,5.5,6/10/2014 0:00,Exacta,10,6,2014,https://drive.google.com/open?id=1aBbT4ZQDfCrVypES03QVKWqUgjcXSOUI,VolcadoMasivo_TODO_8.4_MCDA.xlsx,No,M-0019,A-087,PO-16-0099,C2,0.700977954,No
-73.885823,7.246407,Aljibe,0.072427984,0.153,0.734782609,0.206666667,0.941449276,0.3,1.774647887,0.170833333,0.29516129,,0.003330528,6.58,34.6,234,102,Cauce Aluvial (Fca),Cuaternario,SUR,Fpl,,76,CAS,SANTANDER,PUERTO WILCHES,1.166877259,2.543973039,-37.10997937,37.10997937,EIA,5.7,5.7,6/8/2014 0:00,Exacta,8,6,2014,https://drive.google.com/open?id=1aBbT4ZQDfCrVypES03QVKWqUgjcXSOUI,VolcadoMasivo_TODO_8.4_MCDA.xlsx,No,M-0020,A-089,PO-16-0101,C2,0.620863986,No
